id,title,description,slug,unit_price,last_update,inventory,collection_id
1,Dr,Hidradenitis,Suite 92,96,2024-02-06,1,
2,Mr,Injury due to sea-based artillery shell,PO Box 39925,94,2023-07-08,2,
3,Mrs,Fissure of tongue,Room 1248,72,2023-07-25,3,
4,Mr,Foreign body in esophagus,Room 1699,18,2024-01-19,4,
5,Rev,Closed fracture of other specified part of pelvis,Suite 52,5,2024-03-31,5,
6,Dr,Dementia with lewy bodies,Apt 620,93,2023-10-04,6,
7,Ms,Hemorrhage from throat,18th Floor,3,2023-11-22,7,
8,Rev,"Mild or unspecified pre-eclampsia, antepartum condition or complication",Suite 80,49,2024-02-02,8,
9,Mr,"Unspecified derangement of joint, ankle and foot",Apt 557,92,2023-08-16,9,
10,Mrs,Closed dislocation of ankle,PO Box 98814,84,2023-07-26,10,
11,Mr,"Activities involving mountain climbing, rock climbing and wall climbing",10th Floor,53,2023-09-18,11,
12,Mrs,"Other umbilical cord complications complicating labor and delivery, unspecified as to episode of care or not applicable",Room 1128,68,2024-02-18,12,
13,Mrs,"Pressure ulcer, stage IV",9th Floor,53,2023-10-01,13,
14,Mrs,Phlebitis and thrombophlebitis of intracranial venous sinuses,PO Box 18672,73,2023-09-21,14,
15,Mr,Motor vehicle traffic accident involving collision with train injuring passenger on motorcycle,PO Box 73895,33,2024-01-11,15,
16,Rev,"Backache, unspecified",10th Floor,63,2023-07-08,16,
17,Honorable,"Unspecified lymphoid leukemia, in remission",Apt 1302,50,2023-12-17,17,
18,Rev,Isolated explosive disorder,PO Box 57296,100,2024-04-18,18,
19,Mrs,"Other specified malposition or malpresentation, unspecified as to episode of care or not applicable",Suite 2,10,2023-06-25,19,
20,Mr,"Open wound of wrist, complicated",Room 1077,49,2024-05-16,20,
21,Dr,Other specified anomalies of ear,18th Floor,60,2023-11-29,21,
22,Mr,Erysipelas,10th Floor,79,2023-12-12,22,
23,Ms,"Other symptoms referable to joint, lower leg",Room 1691,57,2023-07-12,23,
24,Mr,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, trunk, unspecified site",Room 1750,95,2023-07-17,24,
25,Mr,"Osteoarthrosis, unspecified whether generalized or localized, pelvic region and thigh",Apt 495,48,2024-03-01,25,
26,Ms,"Arthropathy associated with Reiter's disease and nonspecific urethritis, pelvic region and thigh",Apt 572,97,2024-02-29,26,
27,Dr,"Congenital or acquired abnormality of vulva, delivered, with mention of postpartum complication",11th Floor,55,2023-10-26,27,
28,Dr,Unspecified intestinal malabsorption,Apt 469,92,2024-03-29,28,
29,Mr,Other specified disorders of amino-acid metabolism,Apt 870,73,2023-07-08,29,
30,Honorable,Noncollision motor vehicle traffic accident while boarding or alighting injuring passenger on motorcycle,Room 631,84,2024-04-18,30,
31,Honorable,Pneumococcal peritonitis,Apt 787,76,2024-03-02,31,
32,Mrs,"Maternal distress complicating labor and delivery, delivered, with mention of postpartum complication",PO Box 30173,53,2023-07-28,32,
33,Dr,Striking against or struck accidentally by furniture without subsequent fall,Room 365,16,2024-04-05,33,
34,Ms,"Superficial thrombophlebitis complicating pregnancy and the puerperium, unspecified as to episode of care or not applicable",PO Box 20509,92,2024-02-10,34,
35,Honorable,Retinal hemorrhage,PO Box 47210,42,2023-08-09,35,
36,Honorable,"Disseminated chorioretinitis, unspecified",Suite 16,76,2024-05-07,36,
37,Mrs,Failure to thrive in newborn,Suite 91,56,2024-01-21,37,
