id,description,discount
1,"Calcium deposit in bursa, left ankle and foot",91
2,"Sprain of interphalangeal joint of right little finger, init",72
3,End stage renal disease,1
4,"Lacerat musc/tend peroneal grp at lower leg level, right leg",24
5,"Subluxation of carpometacarpal joint of right hand, sequela",5
6,Drug-induced tremor,26
7,"Ankylosis, left hand",91
8,"Complete traumatic trnsphal amputation of r idx fngr, subs",82
9,Drown due to falling or jumping from crushed unsp watercraft,37
10,"Nondisp fx of prox phalanx of unsp less toe(s), 7thK",40
11,"Anaplstc lg cell lymph, ALK-neg, nodes of head, face, and nk",74
12,"Vitreous degeneration, right eye",84
13,Syphilis complicating the puerperium,50
14,"Displacement of intraocular lens, sequela",75
15,"Acute pain, not elsewhere classified",6
16,Other contact with shark,95
17,Pedl cyc driver injured in nonclsn trnsp accident nontraf,69
18,"Chronic angle-closure glaucoma, unsp eye, moderate stage",78
19,"Prsn brd/alit pk-up/van injured in clsn w pedl cyc, sequela",32
20,Chronic iridocyclitis,72
21,"Unsp inj extn musc/fasc/tend r rng fngr at wrs/hnd lv, sqla",48
22,"Primary open-angle glaucoma, unspecified eye",17
23,Other anterior subluxation of unspecified hip,54
24,"Ulcerative colitis, unspecified with rectal bleeding",61
25,Displaced unspecified fracture of right great toe,79
26,Complete placenta previa with hemorrhage,75
27,"Poisoning by antiviral drugs, undetermined, subs encntr",5
28,"Nondisp subtrochnt fx unsp femr, 7thM",92
29,"Displ seg fx shaft of ulna, unsp arm, 7thM",29
30,"Burn of 2nd deg mul sites of left ankle and foot, sequela",88
31,"Hallucinogen abuse with intoxication, uncomplicated",74
32,Lead-induced gout,7
33,"Unspecified dislocation of left radial head, sequela",7
34,"Abrasion of lip, sequela",42
35,"Nondisp fx of navicular of left foot, subs for fx w nonunion",89
36,"Nondisp fx of coronoid pro of r ulna, 7thJ",80
37,Other foreign object in other parts of respiratory tract,49
38,"Insect bite (nonvenomous) of unsp back wall of thorax, init",8
39,"Poisoning by antiasthmatics, intentional self-harm, subs",75
40,"Unsp inj flexor musc/fasc/tend l mid fngr at forarm lv, subs",4
41,"Other secondary osteonecrosis, unspecified toe(s)",75
42,"Legal intervention involving baton, law enforc offl injured",65
43,Congenital diaphragmatic hernia,43
44,Other cysts of jaw,42
45,Traumatic rupture of collateral ligament of left wrist,87
46,"Urinary calculus, unspecified",6
47,"Drug/chem diab with severe nonp rtnop with mclr edema, l eye",24
48,"Struck by hit or thrown ball, unspecified type, sequela",90
49,"Injury of trochlear nerve, right side",99
50,"Insect bite (nonvenomous), left lesser toe(s), init encntr",75
51,Hypoplasia and dysplasia of spinal cord,59
52,Malignant neoplasm of cortex of unspecified adrenal gland,32
53,"Dislocation of other internal joint prosthesis, sequela",86
54,Chronic embolism and thrombosis of deep veins of l up extrem,2
55,Oth disrd of l mid ear and mastoid in diseases classd elswhr,40
56,"Burn due to localized fire on board merchant vessel, subs",77
57,"Frostbite with tissue necrosis of left hand, subs encntr",32
58,"Zygomatic fracture, unspecified side, 7thG",87
59,Burn of third degree of right ear,92
60,"Strain of left Achilles tendon, initial encounter",31
61,Congenital malformation of retina,85
62,Complete or unsp spontaneous abortion with oth complications,80
63,"Hemor due to internal orthopedic prosth dev/grft, sequela",22
64,"Oth fx shaft of r tibia, subs for opn fx type I/2 w malunion",6
65,"Traum rupture of ligament of l rng fngr at MCP/IP jt, subs",41
66,"Oth comp specific to multiple gest, unsp trimester, fetus 5",61
67,"Poisn by crbnc-anhydr inhibtr,benzo/oth diuretc,slf-hrm,init",64
68,Failed attempted termination of pregnancy w/o complication,69
69,"Maternal care for unsp congen malform of uterus, second tri",13
70,"Unsp dislocation of right acromioclavicular joint, sequela",5
71,Dislocation and sprain of joints and ligaments at wrs/hnd lv,33
72,"Sprain of MTP joint of unsp lesser toe(s), subs",45
73,"Occup of bus injured in clsn w ped/anml in traf, sequela",14
74,"Nondisp fx of epiphy (separation) (upper) of r femr, 7thR",53
75,"Nondisp fx of shaft of fifth metacarpal bone, right hand",94
76,"Legal intervnt w unsp explosv, suspect injured, sequela",46
77,"Contusion of descending [left] colon, initial encounter",46
78,"Alcohol dependence with intoxication, uncomplicated",19
79,Balanitis,71
80,Displaced fracture of anterior process of right calcaneus,45
81,Displaced avulsion fracture of unspecified ischium,76
82,Unspecified transplanted organ and tissue failure,98
83,Anterior synechiae (iris),56
84,"Sltr-haris Type I physl fx low end rad, r arm, 7thP",32
85,"Granulomatous hepatitis, not elsewhere classified",44
86,Unsp fibrinolysis-affecting drugs,6
87,"Fracture of unsp tarsal bone(s) of unspecified foot, sequela",67
88,"Injury of sciatic nrv at hip and thi lev, right leg, subs",59
89,"Disp fx of greater tuberosity of l humer, 7thG",23
90,"Advrs effect of unsp sys anti-infect and antiparasitic, subs",35
91,"Obesity, unspecified",94
92,"Other superficial bite of right index finger, sequela",27
93,Type III traumatic spondylolysis of fourth cervcal vertebra,93
94,"Penetrating wound w foreign body of right eyeball, sequela",98
95,Unspecified injury to L3 level of lumbar spinal cord,1
96,"Leucocoria, unspecified eye",62
97,"Sltr-haris Type I physeal fx phalanx of right toe, 7thD",51
98,"Punctate keratitis, unspecified eye",67
99,"Inj flexor musc/fasc/tend thmb at forearm level, subs",22
100,Unspecified subluxation of unspecified patella,85
101,"Malocclusion, unspecified",71
102,"Torus fracture of lower end of left fibula, sequela",65
103,Other hypertrophic disorders of the skin,59
104,Other specified disorders of muscle,12
105,"Toxic effect of thallium, accidental (unintentional)",40
106,"Superficial frostbite of unspecified hand, sequela",57
107,"Parapsoriasis, unspecified",8
108,"Nondisp fx of lower epiphysis (separation) of l femur, init",73
109,"Path fx in neopltc dis, l shldr, subs for fx w routn heal",88
110,Malignant neoplasm of bronchus and lung,35
111,"Unsp injury of radial artery at wrs/hnd lv of unsp arm, subs",60
112,"Blister (nonthermal) of throat, subsequent encounter",26
113,Pyothorax,24
114,"Nondisp spiral fx shaft of r femur, init for opn fx type I/2",36
115,"Hemarthrosis, left elbow",53
116,"Toxic effect of chloroform, undetermined",18
117,"Burn of unspecified degree of left shoulder, init encntr",46
118,"Laceration of musc/fasc/tend triceps, left arm, sequela",4
119,"Inj adductor musc/fasc/tend right thigh, sequela",65
120,"Drug-induced gout, left knee",3
121,"Mech compl of cardiac electrode, initial encounter",86
122,"Child physical abuse, suspected, sequela",24
123,Unsp intcrn injury w LOC w death d/t brain injury bf consc,29
124,"Undrdose of pertussis vaccine, inc combin w pertuss, init",22
125,"Injury of acoustic nerve, right side, initial encounter",4
126,Superficial foreign body of other specified part of neck,77
127,19 weeks gestation of pregnancy,7
128,"Toxic effect of formaldehyde, undetermined",1
129,Viral agents as the cause of diseases classified elsewhere,83
130,"Sltr-haris Type III physeal fracture of l calcaneus, sequela",4
131,"Disp fx of left tibial spine, init for opn fx type 3A/B/C",89
132,"Unsp car occupant injured in clsn w 2/3-whl mv in traf, subs",68
133,"Unsp inj extn musc/fasc/tend r rng fngr at forarm lv, init",66
134,"Underdosing of appetite depressants, subsequent encounter",51
135,Other developmental disorders of speech and language,63
136,Primary optic atrophy,90
137,"Traum hemor right cerebrum w LOC of 6-24 hrs, sequela",21
138,"Postp hemor, hematoma & seroma of circ sys org fol oth proc",34
139,"Inj unsp musc/fasc/tend at wrs/hnd lv, right hand, sequela",41
140,"Unsp fx lower end of r femur, subs for clos fx w routn heal",37
141,"Corrosion of first deg mult sites of unsp wrs/hnd, sequela",73
142,"Poisoning by unsp drug/meds/biol subst, assault, subs",29
143,"Disp fx of pisiform, unsp wrist, init for opn fx",77
144,"Disp fx of dist phalanx of l rng fngr, 7thK",98
145,"Complete traumatic amputation of right breast, init encntr",56
146,"Cocaine use, unspecified with cocaine-induced sleep disorder",51
147,"Nondisp transverse fx unsp patella, 7thN",21
148,"Body mass index (BMI) 32.0-32.9, adult",88
149,"Stress fracture, unspecified humerus, sequela",74
150,"Poisoning by cannabis (derivatives), self-harm, init",83
151,"Erosn implnt urethral bulking agent to surrnd org/tiss, sqla",87
152,Spiritual or religious counseling,7
153,"Sprain of left acromioclavicular joint, initial encounter",45
154,"Strain extn musc/fasc/tend l little fngr at wrs/hnd lv, sqla",12
155,Oth and unsp comp following incomplete spontaneous abortion,88
156,Acute suppurative otitis media w spontaneous rupt ear drum,22
157,"Oth fracture of lower end of unsp tibia, init for clos fx",91
158,"Person injured wh brd/alit from oth sp off-rd mv, subs",35
159,"External constriction of left middle finger, init encntr",46
160,"Oth injury of intercostal blood vessels, left side",95
161,Asphyx due to mech threat to breathing due to oth causes,12
162,Other fracture of shaft of unspecified humerus,31
163,"Nonpurulent mastitis associated w pregnancy, first trimester",69
164,"Fx oth skull and facial bones, unspecified side, sequela",83
165,Oth bacterial agents as the cause of diseases classd elswhr,27
166,Burns of 70-79% of body surface w 30-39% third degree burns,13
167,"Other superficial bite of hip, left hip, initial encounter",17
168,"Pasngr in 3-whl mv inj pk-up truck, pk-up/van in traf, init",93
169,"Toxic effect of unsp substance, undetermined, subs encntr",35
170,"Hunting rifle discharge, undetermined intent, sequela",98
171,"Nondisplaced fracture of right tibial tuberosity, sequela",92
172,Supervision of pregnancy with insufficient antenatal care,28
173,"Nondisp transverse fx shaft of r fibula, 7thR",14
174,"Anterior subluxation of unspecified radial head, subs encntr",85
175,"Open bite, unspecified hip",47
176,"Benign paroxysmal vertigo, bilateral",87
177,Melanoma in situ of other sites,20
178,"Unsp fracture of right toe(s), init encntr for open fracture",9
179,"Inj oth blood vessels at hip and thi lev, right leg, subs",40
180,"Strain of quadriceps muscle, fascia and tendon",3
181,"Toxic effect of unsp inorganic substance, undetermined, subs",42
182,Cellulitis and acute lymphangitis of other parts of limb,99
183,"Ankylosis, elbow",17
184,"Infective myositis, forearm",40
185,"Legal intervnt w injury by mch gun, law enforc offl injured",6
186,"Unsp car occupant injured in clsn w ped/anml in traf, init",46
187,Osteitis deformans of unspecified shoulder,43
188,"Injury of trochlear nerve, unspecified side",38
189,"Traum hemor cereb, w LOC >24 hr w/o ret consc w surv",22
190,"Prsn brd/alit a car injured in collision w SUV, subs",42
191,"Toxic effect of tetrachloroethylene, undetermined",83
192,Cyclothymic disorder,60
193,"Oth injury of anterior tibial artery, right leg, init encntr",75
194,"Obst due to fb acc left in body fol remov cath/pack, init",26
195,Fntl lb and exec fcn def following ntrm intcrbl hemorrhage,60
196,"Malignant neoplasm of greater curvature of stomach, unsp",29
197,"Corros 1st deg mult sites of right low limb, ex ank/ft, init",94
198,"Capslr glaucoma w/pseudxf lens, bilateral, mild stage",18
199,"Displaced oblique fracture of shaft of right tibia, init",37
200,"Enteropathic arthropathies, right hand",37
201,Filamentary keratitis,42
202,"Rheumatoid arthritis without rheumatoid factor, elbow",47
203,"Dislocation of r acromioclav jt, 100%-200% displacmnt, init",95
204,"Laceration of dorsal vein of left foot, sequela",67
205,"Cyst of oral region, unspecified",91
206,Partial traumatic transphalangeal amputation of left thumb,35
207,"Serous choroidal detachment, bilateral",89
208,"Unspecified open wound of other part of head, init encntr",10
209,"Embolism due to nervous system prosth dev/grft, init",59
210,"Galeazzi's fx unsp radius, subs for clos fx w malunion",28
211,Laceration with foreign body of ear,29
212,Other stressful life events affecting family and household,28
213,"Poisoning by diagnostic agents, intentional self-harm, init",16
214,"Unsp disorder of synovium and tendon, unspecified lower leg",77
215,"Unsp injury of unsp external jugular vein, init encntr",10
216,"Unsp intcrn inj w LOC w death d/t brain inj bf consc, init",79
217,Chronic venous hypertension w/o comp of r low extrem,10
218,"Mtrcy passenger injured in clsn w pedl cyc nontraf, init",25
219,"Crushing injury of unspecified hand, subsequent encounter",31
220,"Sltr-haris Type I physeal fx upper end of left femur, init",14
221,"Open bite of left index finger w/o damage to nail, subs",22
222,"Displaced fracture of capitate bone, unspecified wrist",34
223,Pain localized to other parts of lower abdomen,90
224,Colorado tick fever,95
225,"Toxic effect of venom of scorpion, accidental, init",66
226,"Primary blast injury of sigmoid colon, subsequent encounter",91
227,"Minor opacity of cornea, unspecified eye",28
228,"Strain of unsp musc/fasc/tend at wrs/hnd lv, r hand, sequela",37
229,Subluxation of proximal interphalangeal joint of finger,4
230,"Other ossification of muscle, right lower leg",29
231,"Strain of unsp musc/fasc/tend at wrs/hnd lv, unsp hand",11
232,"Milt op w dest arcrft due to clsn w oth arcrft, milt, sqla",9
233,"Assault by strike by baseball bat, subsequent encounter",38
234,"Displ longitud fx unsp patella, 7thE",1
235,"Nondisp spiral fx shaft of r femr, 7thK",72
236,Other secondary osteonecrosis of left ulna,70
237,"Unspecified fracture of right foot, sequela",36
238,"Nondisp transverse fracture of shaft of unsp fibula, init",42
239,"Insect bite of abdomen, low back, pelvis and extrn genitals",7
240,Oppositional defiant disorder,23
241,Corrosion of unspecified degree of unspecified ankle,3
242,"Insect bite of other specified part of neck, sequela",81
243,"Disp fx of shaft of unsp clavicle, init for opn fx",78
244,Acute cystitis,53
245,"Pressure ulcer of other site, unspecified stage",74
246,"Lac w/o fb of l frnt wl of thorax w/o penet thor cav, init",34
247,"Greenstick fx shaft of right ulna, subs for fx w malunion",50
248,"Underdosing of unspecified anesthetics, initial encounter",99
249,Postproc hematoma and seroma of a dgstv sys org fol a proc,37
